"sale_price"	"sq_ft_lot"	"sq_rt_price"	"recipt_price"	"log_sale_price"	"log_lot_size"	"resid"	"stand_resid"	"stud_resid"	"cooks_dist"	"dfbeta.(Intercept)"	"dfbeta.sq_ft_lot"	"dffit"	"leverage"	"covariance_ratios"
698000	6635	835.463942968217	1.43266475644699e-06	13.4559743817445	8.80011394676631	50532.2590597609	0.125869028996089	0.12586421373501	6.61990670619407e-07	4.34831536917396	-1.88991335752147e-05	0.00115059986198067	8.35618043144626e-05	1.00023662070594
649990	5570	806.219573069273	1.53848520746473e-06	13.3847122571381	8.62515033292133	3428.56601142113	0.00854009815705247	0.00853976621111014	3.07751746241971e-09	0.296976042328119	-1.36986642380168e-06	7.84509812098209e-05	8.43855620013195e-05	1.00023989732123
572500	8444	756.637297521078	1.74672489082969e-06	13.2577680144105	9.04121140896821	-76507.1862672769	-0.190568941276547	-0.190561802502599	1.49431652146526e-06	-6.50966998082159	2.52942915167152e-05	-0.00172870157540587	8.22872621882235e-05	1.00023216168888
420000	9600	648.074069840786	2.38095238095238e-06	12.9480099902596	9.16951837745593	-229990.933530396	-0.572875762341615	-0.572860801584536	1.33837214694984e-05	-19.4271879991354	6.96613096428305e-05	-0.00517359110132903	8.15549956435112e-05	1.00018603773227
369900	7526	608.194047981399	2.70343336036767e-06	12.8209879778205	8.92611897115338	-278325.975205388	-0.693272170189085	-0.693258173282446	1.99270798650581e-05	-23.8178025650062	9.81463916599908e-05	-0.00631288764870006	8.29144287002763e-05	1.00016369058604
184667	7280	429.728984361074	5.41515268022982e-06	12.1263094821138	8.89288614119073	-463349.631064621	-1.15414104682882	-1.15415594459779	5.53438387573914e-05	-39.7120160133854	0.000166125342789919	-0.0105209569464295	8.30893601254519e-05	1.00003146123716
1050000	97574	1024.69507659596	9.52380952380952e-07	13.8643007221337	11.4883663434695	325143.857364378	0.809942192432871	0.809931361715315	7.0167141230358e-05	12.2163697975269	0.000587647319423217	0.0118461187452539	0.000213876385776534	1.00026742421203
875000	30649	935.414346693485	1.14285714285714e-06	13.6819791653398	10.3303553144047	207096.526554903	0.515848397517443	0.515833681098509	1.05690785300679e-05	15.1692452289902	4.18247216420034e-05	0.00459749399068713	7.94307112301538e-05	1.00019356851985
660000	42688	812.403840463596	1.51515151515152e-06	13.3999951140026	10.6616731292753	-18148.5714560756	-0.0452057342201311	-0.0452039805765068	8.96884108422972e-08	-1.2128574928781	-8.90564783716199e-06	-0.000423512579509035	8.77690000932931e-05	1.00024297539143
650000	94889	806.225774829855	1.53846153846154e-06	13.3847276418718	11.460463066394	-72571.2279284643	-0.180776041045113	-0.180769243563336	3.33969226854171e-06	-2.83053101873235	-0.000126486036994986	-0.002584353349379	0.000204345909696196	1.00035483925589
599950	7949	774.564393707844	1.66680556713059e-06	13.3046015973925	8.98080141357311	-48635.9450084153	-0.121145509912188	-0.121140869860404	6.06328417515557e-07	-4.15106154379095	1.66571118299966e-05	-0.00110116481224105	8.26204186691487e-05	1.00023586047887
